Competitor,Product_Name,Price,Width_cm,Height_cm,Area_cm2,Price_per_Volume,Thickness_cm,product_category,Size_Info,Option1,Option2,Option3
아기,아기 폴더매트 120x200,106900.0,120,200,24000,44541.66666666667,0,폴더매트,120x200,01. 폴더매트,05. 항균 4단 120×200,01. 퓨어라이트크림
아기,아기 폴더매트 120x200,106900.0,120,200,24000,44541.66666666667,0,폴더매트,120x200,01. 폴더매트,05. 항균 4단 120×200,02. 퓨어크림
아기,아기 폴더매트 120x200,106900.0,120,200,24000,44541.66666666667,0,폴더매트,120x200,01. 폴더매트,05. 항균 4단 120×200,03. 퓨어라이트그레이
아기,아기 폴더매트 120x200,106900.0,120,200,24000,44541.66666666667,0,폴더매트,120x200,01. 폴더매트,05. 항균 4단 120×200,04. 퓨어그레이
아기,아기 폴더매트 140x200,116900.0,140,200,28000,41750.0,0,폴더매트,140x200,01. 폴더매트,06. 항균 4단 140×200,01. 퓨어라이트크림
아기,아기 폴더매트 140x200,116900.0,140,200,28000,41750.0,0,폴더매트,140x200,01. 폴더매트,06. 항균 4단 140×200,02. 퓨어크림
아기,아기 폴더매트 140x200,116900.0,140,200,28000,41750.0,0,폴더매트,140x200,01. 폴더매트,06. 항균 4단 140×200,03. 퓨어라이트그레이
아기,아기 폴더매트 140x200,116900.0,140,200,28000,41750.0,0,폴더매트,140x200,01. 폴더매트,06. 항균 4단 140×200,04. 퓨어그레이
아기,아기 폴더매트 70x200,76900.0,70,200,14000,54928.571428571435,0,폴더매트,70x200,02. 제로갭 매트,01. 일반 2단 70×200,01. 퓨어라이트크림
아기,아기 폴더매트 70x200,76900.0,70,200,14000,54928.571428571435,0,폴더매트,70x200,02. 제로갭 매트,01. 일반 2단 70×200,02. 퓨어크림
아기,아기 폴더매트 70x200,76900.0,70,200,14000,54928.571428571435,0,폴더매트,70x200,02. 제로갭 매트,01. 일반 2단 70×200,03. 퓨어라이트그레이
아기,아기 폴더매트 70x200,76900.0,70,200,14000,54928.571428571435,0,폴더매트,70x200,02. 제로갭 매트,01. 일반 2단 70×200,04. 퓨어그레이
아기,아기 폴더매트 100x200,85900.0,100,200,20000,42950.0,0,폴더매트,100x200,02. 제로갭 매트,02. 일반 2단 100×200,01. 퓨어라이트크림
아기,아기 폴더매트 100x200,85900.0,100,200,20000,42950.0,0,폴더매트,100x200,02. 제로갭 매트,02. 일반 2단 100×200,02. 퓨어크림
아기,아기 폴더매트 100x200,85900.0,100,200,20000,42950.0,0,폴더매트,100x200,02. 제로갭 매트,02. 일반 2단 100×200,03. 퓨어라이트그레이
아기,아기 폴더매트 100x200,85900.0,100,200,20000,42950.0,0,폴더매트,100x200,02. 제로갭 매트,02. 일반 2단 100×200,04. 퓨어그레이
아기,아기 폴더매트 120x200,92900.0,120,200,24000,38708.333333333336,0,폴더매트,120x200,02. 제로갭 매트,03. 일반 2단 120×200,01. 퓨어라이트크림
아기,아기 폴더매트 120x200,92900.0,120,200,24000,38708.333333333336,0,폴더매트,120x200,02. 제로갭 매트,03. 일반 2단 120×200,02. 퓨어크림
아기,아기 폴더매트 120x200,92900.0,120,200,24000,38708.333333333336,0,폴더매트,120x200,02. 제로갭 매트,03. 일반 2단 120×200,03. 퓨어라이트그레이
아기,아기 폴더매트 120x200,92900.0,120,200,24000,38708.333333333336,0,폴더매트,120x200,02. 제로갭 매트,03. 일반 2단 120×200,04. 퓨어그레이
아기,아기 폴더매트 140x200,102900.0,140,200,28000,36750.0,0,폴더매트,140x200,02. 제로갭 매트,04. 일반 2단 140×200,01. 퓨어라이트크림
아기,아기 폴더매트 140x200,102900.0,140,200,28000,36750.0,0,폴더매트,140x200,02. 제로갭 매트,04. 일반 2단 140×200,02. 퓨어크림
아기,아기 폴더매트 140x200,102900.0,140,200,28000,36750.0,0,폴더매트,140x200,02. 제로갭 매트,04. 일반 2단 140×200,03. 퓨어라이트그레이
아기,아기 폴더매트 140x200,102900.0,140,200,28000,36750.0,0,폴더매트,140x200,02. 제로갭 매트,04. 일반 2단 140×200,04. 퓨어그레이
아기,아기 폴더매트 100x300,123900.0,100,300,30000,41300.0,0,폴더매트,100x300,02. 제로갭 매트,05. 일반 3단 100×300,01. 퓨어라이트크림
아기,아기 폴더매트 100x300,123900.0,100,300,30000,41300.0,0,폴더매트,100x300,02. 제로갭 매트,05. 일반 3단 100×300,02. 퓨어크림
아기,아기 폴더매트 100x300,123900.0,100,300,30000,41300.0,0,폴더매트,100x300,02. 제로갭 매트,05. 일반 3단 100×300,03. 퓨어라이트그레이
아기,아기 폴더매트 100x300,123900.0,100,300,30000,41300.0,0,폴더매트,100x300,02. 제로갭 매트,05. 일반 3단 100×300,04. 퓨어그레이
아기,아기 폴더매트 120x300,129900.0,120,300,36000,36083.333333333336,0,폴더매트,120x300,02. 제로갭 매트,06. 일반 3단 120×300,01. 퓨어라이트크림
아기,아기 폴더매트 120x300,129900.0,120,300,36000,36083.333333333336,0,폴더매트,120x300,02. 제로갭 매트,06. 일반 3단 120×300,02. 퓨어크림
아기,아기 폴더매트 120x300,129900.0,120,300,36000,36083.333333333336,0,폴더매트,120x300,02. 제로갭 매트,06. 일반 3단 120×300,03. 퓨어라이트그레이
아기,아기 폴더매트 120x300,129900.0,120,300,36000,36083.333333333336,0,폴더매트,120x300,02. 제로갭 매트,06. 일반 3단 120×300,04. 퓨어그레이
아기,아기 폴더매트 140x300,139900.0,140,300,42000,33309.52380952381,0,폴더매트,140x300,02. 제로갭 매트,07. 일반 3단 140×300,01. 퓨어라이트크림
아기,아기 폴더매트 140x300,139900.0,140,300,42000,33309.52380952381,0,폴더매트,140x300,02. 제로갭 매트,07. 일반 3단 140×300,02. 퓨어크림
