평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
5,mjw1*****,2025.10.25,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 2m,"애기 뛰는 소리에 신경이 많이 쓰였는데 두툼해서 전혀 소리도 없고 마음에 듭니다.
색상이 다양했으면 더 좋았을건데 이점이 아쉽긴합니다.
기타 마무리 테이프가 미포함이라는점이 마이너스 별점감이지만 만점드립니다 다른분들 혹 테이프 미포함을 몰라서 난감한 경우를 격지 않도록 비누관련 서은품 보다는 테이프를 하나 정도 포함해주셨으면 싶네요.
아무튼 마음에 듭니다.",https://phinf.pstatic.net/checkout.phinf/20251025_238/1761394564667tmui2_JPEG/20251025_150637.jpg?type=f300_300
5,mjw1*****,2025.10.25,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 4m,"다른 브랜드사 제품을 구매했다가 품절이라 색상이 없다고 해서 취소하고 이제품 구매했는데 원하는 색상은 아니였지만 잘한듯 싶네요 두께도 1.7cm이라 취소한 제품보다 3mm 더 높고 해서 셀프시공 해보니 두툼하니 좋네요.
마음에 듭니다.
아쉬운 점은 기본적인 시공이 가능하도록 마무리 테이프를 하나정도는 끼워주셨으면 싶습니다.
테이프를 주지 않는다는건 생각지 않고 더 붙이려고 미터도 추가하고 테이프도 하나 추가 했기 망정이지 정말 난감했을듯 싶네요.",https://phinf.pstatic.net/checkout.phinf/20251025_276/1761394078074dreLv_JPEG/20251025_150624.jpg?type=f300_300
5,youm***,2025.10.25,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 50cm,침대와 옷장 사이에 놓을 매트를 찾고 있었는데 딱입니다! 작은 사이즈부터 가능해 선택의 폭이 넓어 좋았어요:),https://phinf.pstatic.net/checkout.phinf/20251025_226/1761357322815mgY0v_JPEG/1000051592.jpg?type=f300_300
5,ehdw******,2025.10.25,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 90cm / 길이(최대 7m까지 연결가능): 3m,빠른배송 좋아요..,https://phinf.pstatic.net/checkout.phinf/20251025_13/1761353553910e47vQ_JPEG/image.jpg?type=f300_300
5,esca***,2025.10.25,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 3m,거실복도에도 전부터 리포소홈 롤매트 쓰고 있었어서 이번에도 같은제품 주문했어요~퍼즐매트 깔아놨었는데 사이사이 주스나 물 흘러서 스며들고 많이 더러워져서 롤매트로 바꾸게 되었어요. 원하는 사이즈에 기존쓰던롤매트랑 같은색상이 없어서 다른색상 주문한게 아쉽네요ㅜ아이 클 동안은 계속 잘 쓸 수 있을것 같습니다.,https://phinf.pstatic.net/checkout.phinf/20251025_218/1761353127770JiIjL_JPEG/17613530892301980744170206987638.jpg?type=f300_300
5,choy******,2025.10.25,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 6m50cm,"지난번에 친정집구입하고 추가로구매했어요 
이가격에 이두께감 진짜 너무만족스러워요
저희아파트는 매트시공했는데 이걸할껄 그랬어요 ㅠㅠ 아기방에 안한부분 재구매할생각입니다",https://phinf.pstatic.net/checkout.phinf/20251025_214/1761353113387aURQf_JPEG/13582.jpg?type=f300_300
5,sung********,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 4m,"롤매트에 대해서는 뒤늦게 알기도 했고, 길이가 제한적이라는 고정관념으로 구매하지 않다가
최근 애기가 온집을 다 뛰어 다니기 시작하면서 매트를 깔지 않은 안방의 소음이 심함을 느껴서 깔게 되었습니다.
기존 거실과 복도에는 퍼즐매트를 설치했는데, 이 부분의 장단점을 알게되니 안방(퀸+싱글ss침대)를 넣어서 복도 형태다보니 퍼즐매트보다는 롤매트가 더 적합하다고 판단을 내린 후 서치하다 선택했어요!

우선 선택 이유는 많은 후기들도 있었고, 색상과 사이즈 선택의 선택의 폭이 커서 구매했습니다.
기존 퍼즐매트가 1.5cm라 리포소홈의 1.7cm 높이도 맘에 들었어요!
매트를 깔아야되는 폭이 120cm인데, 120으로 구매했다가 혹시라도 잘못재서 전체 자르게 되면 어쩌지..? 라는 마음에 10cm작게 110으로 주문했는데 정 사이즈로 오는거 같아요.
본인이 재셨던 길이로 구매하시면 될거 같습니다.

깔고나서 애기도 느낌이 좋은지 엄청 다다다닥 잘 뛰어다니더라구요^^
제가 밟을떄도 느낌이 좋아서 전체 롤매트 시공했어도 편했을거 같다는 생각이 드네요.",https://phinf.pstatic.net/checkout.phinf/20251024_104/1761312016569c7qXj_JPEG/20251016_200242.jpg?type=f300_300
5,sung********,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 1m,"롤매트에 대해서는 뒤늦게 알기도 했고, 길이가 제한적이라는 고정관념으로 구매하지 않다가
최근 애기가 온집을 다 뛰어 다니기 시작하면서 매트를 깔지 않은 안방의 소음이 심함을 느껴서 깔게 되었습니다.
기존 거실과 복도에는 퍼즐매트를 설치했는데, 이 부분의 장단점을 알게되니 안방(퀸+싱글ss침대)를 넣어서 복도 형태다보니 퍼즐매트보다는 롤매트가 더 적합하다고 판단을 내린 후 서치하다 선택했어요!

우선 선택 이유는 많은 후기들도 있었고, 색상과 사이즈 선택의 선택의 폭이 커서 구매했습니다.
기존 퍼즐매트가 1.5cm라 리포소홈의 1.7cm 높이도 맘에 들었어요!
매트를 깔아야되는 폭이 120cm인데, 120으로 구매했다가 혹시라도 잘못재서 전체 자르게 되면 어쩌지..? 라는 마음에 10cm작게 110으로 주문했는데 정 사이즈로 오는거 같아요.
본인이 재셨던 길이로 구매하시면 될거 같습니다.

깔고나서 애기도 느낌이 좋은지 엄청 다다다닥 잘 뛰어다니더라구요^^
제가 밟을떄도 느낌이 좋아서 전체 롤매트 시공했어도 편했을거 같다는 생각이 드네요.",이미지 없음
5,gmag*****,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 3m,아주 나무 조아요오,https://phinf.pstatic.net/checkout.phinf/20251024_265/1761301594099NKH3p_JPEG/1000054460.jpg?type=f300_300
5,gmag*****,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 100cm / 길이(최대 7m까지 연결가능): 3m,아주 너무 조아요오,https://phinf.pstatic.net/checkout.phinf/20251024_226/1761301565190KVhxd_JPEG/1000054460.jpg?type=f300_300
5,ojw1***,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 2m50cm,"너무 만족하네요
번창하세요^^",https://phinf.pstatic.net/checkout.phinf/20251024_102/1761299755667dEJHl_JPEG/1000012011.jpg?type=f300_300
5,ojw1***,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 130cm / 길이(최대 7m까지 연결가능): 4m,"너무 만족하네요
번창하세요^^",https://phinf.pstatic.net/checkout.phinf/20251024_148/1761299695286KU0Cz_JPEG/1000011887.jpg?type=f300_300
5,ojw1***,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 4m,"너무 만족하네요
번창하세요^^",https://phinf.pstatic.net/checkout.phinf/20251024_185/1761299632308N783b_JPEG/1000011885.jpg?type=f300_300
5,ojw1***,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 5m,"너무 만족하네요
번창하세요^^",https://phinf.pstatic.net/checkout.phinf/20251024_262/17612994482282ntjJ_JPEG/1000011887.jpg?type=f300_300
5,qp****,2025.10.24,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 3m,생각보다 깔았을때 깔끔한 느낌이고 발바닥 안아파서 좋아요,https://phinf.pstatic.net/checkout.phinf/20251024_52/1761286182457sptdO_JPEG/IMG_1241.jpeg?type=f300_300
