기본가격,옵션1,옵션2,추가가격,최종가격
48900,,,,48900

,러그아이보리 2.2cm,100cm,,48900
,러그아이보리 2.2cm,110cm,6000,54900
,러그아이보리 2.2cm,120cm,14000,62900
,러그아이보리 2.2cm,130cm,18000,66900
,러그아이보리 2.2cm,140cm,22000,70900
,러그아이보리 2.2cm,150cm,26000,74900
,러그아이보리 2.2cm,50cm,-24000,24900
,샌드스톤 2.2cm,100cm,,48900
,샌드스톤 2.2cm,110cm,6000,54900
,샌드스톤 2.2cm,120cm,14000,62900
,샌드스톤 2.2cm,130cm,18000,66900
,샌드스톤 2.2cm,140cm,22000,70900
,샌드스톤 2.2cm,150cm,26000,74900
,샌드스톤 2.2cm,50cm,-24000,24900
