평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","lovi****","2025-03-17","색상: BEST🏅크림베이지 / 두께 / 폭: 6mm / 135cm / 길이(최대10m까지 연결가능): 50cm","대형견이라 ㅜㅜ 뜯긴뜯지만  제품은 좋습니다 ㅎㅎ","이미지 없음"
"5","haer******","2025-03-17","색상: BEST🏅크림베이지 / 두께 / 폭: 6mm / 135cm / 길이(최대10m까지 연결가능): 50cm","인테리어에도 예쁜 베이직 색상이에요 !","https://phinf.pstatic.net/checkout.phinf/20250317_57/1742196044895VjHy6_JPEG/1A9D21B5-3C69-4C95-AE95-AD7A6F8AE03B.jpeg?type=f300_300"
"5","kdj0***","2025-03-17","색상: BEST🏅크림베이지 / 두께 / 폭: 10mm / 110cm / 길이(최대10m까지 연결가능): 50cm","주문한 사이즈에 맞게 딱왔어요","https://phinf.pstatic.net/checkout.phinf/20250317_169/1742193759841Q0mDw_JPEG/IMG_1193.jpeg?type=f300_300"
"5","kdo9***","2025-03-17","색상: BEST🏅크림베이지 / 두께 / 폭: 6mm / 135cm / 길이(최대10m까지 연결가능): 50cm","잘 사용 하겠습니다","이미지 없음"
"5","miru*****","2025-03-17","색상: BEST🏅크림베이지 / 두께 / 폭: 6mm / 135cm / 길이(최대10m까지 연결가능): 50cm","얇아도 무겁고 찍힘이없어요 오염물도 너무잘닦이고 틈세에 스며들까 걱정했지만 전혀 그렇지않았어요 재질을 알기쉽게 설명하자면 두꺼운 장판같은 느낌이지만 폭신하고 미끄럽지않고 너무좋아요 추가주문 4m더했네요","https://phinf.pstatic.net/checkout.phinf/20250317_66/17421837989370kc5z_JPEG/1742183786129.jpg?type=f300_300"
"5","jinh*****","2025-03-16","색상: BASIC✨아이보리 / 두께 / 폭: 10mm / 135cm / 길이(최대10m까지 연결가능): 50cm","—————————-","이미지 없음"
"5","jumb****","2025-03-16","색상: BEST🏅크림베이지 / 두께 / 폭: 6mm / 135cm / 길이(최대10m까지 연결가능): 50cm","무엇보다 우리 반려견이 너무 좋아해요. 아주 좋아요.","https://phinf.pstatic.net/checkout.phinf/20250316_294/1742126659092OErDi_JPEG/1000017150.jpg?type=f300_300"
"4","kj****","2025-03-16","색상: BASIC✨아이보리 / 두께 / 폭: 6mm / 110cm / 길이(최대10m까지 연결가능): 50cm","냄새는 이틀만에 없어젔고 미끄럼 방지가  되긴하는데 걸을때 마다 소리가 나요","https://phinf.pstatic.net/checkout.phinf/20250316_90/1742125551973iR2It_JPEG/17421255419174171081861989845390.jpg?type=f300_300"
"5","tmdd*****","2025-03-16","색상: 스톤베이지 / 두께 / 폭: 6mm / 110cm / 길이(최대10m까지 연결가능): 50cm","잘 사용중입니다! 너무 만족스러워요!","https://phinf.pstatic.net/checkout.phinf/20250316_118/17421250899885XMOg_JPEG/IMG_3140.jpeg?type=f300_300"
"5","dudt***","2025-03-16","색상: BEST🏅크림베이지 / 두께 / 폭: 6mm / 135cm / 길이(최대10m까지 연결가능): 50cm","쿠션도 적당하고 탄성이 있어서 원복력도 좋아요!! 깔끔합니당","https://phinf.pstatic.net/checkout.phinf/20250316_208/1742089629344eCgxt_JPEG/image.jpg?type=f300_300"
"5","en****","2025-03-16","색상: BASIC✨아이보리 / 두께 / 폭: 6mm / 110cm / 길이(최대10m까지 연결가능): 50cm","제품 좋습니다 재단할 수 있는 제품이 좋네요. 마음껏 뛰어다닐수 있어서 좋습니다 폭신하네요","https://phinf.pstatic.net/checkout.phinf/20250316_19/1742058154024tpIWx_JPEG/1742058143140.jpg?type=f300_300"
"5","newn***","2025-03-16","색상: MD Pick🪄화이트마블 / 두께 / 폭: 6mm / 110cm / 길이(최대10m까지 연결가능): 50cm","강아지다리걱정되서 삿어요 디자인도이쁘고좋아요","이미지 없음"
"5","en****","2025-03-16","색상: BASIC✨아이보리 / 두께 / 폭: 6mm / 110cm / 길이(최대10m까지 연결가능): 50cm","우리 강아지가 제일 좋아합니다 이젠 슬개골 걱정을 좀 덜하겠어요 아주 좋습니다","https://phinf.pstatic.net/checkout.phinf/20250316_299/1742057498712UK1hc_JPEG/1742057485175.jpg?type=f300_300"
"5","youn*****","2025-03-15","색상: BEST🏅크림베이지 / 두께 / 폭: 6mm / 135cm / 길이(최대10m까지 연결가능): 50cm","강아지가 좋아하는 패드에요
잘 걸어다녀요","이미지 없음"
"5","sere******","2025-03-15","색상: BEST🏅크림베이지 / 두께 / 폭: 10mm / 135cm / 길이(최대10m까지 연결가능): 50cm","아이들이 다 물어 뜯어서 추가로 구매했어요 이만한게 없습니다^^","https://phinf.pstatic.net/checkout.phinf/20250315_140/17420437957834u6e6_JPEG/1000011401.jpg?type=f300_300"
"5","eh****","2025-03-15","색상: BASIC✨아이보리 / 두께 / 폭: 6mm / 110cm / 길이(최대10m까지 연결가능): 50cm","엠보처리되어있어 아가가 미끄러지지 않고 잘 걸어다녀요! 왜 진작 구매하지 않았는지…ㅠ","https://phinf.pstatic.net/checkout.phinf/20250315_115/17420424517948L9IM_JPEG/IMG_3364.jpeg?type=f300_300"
