평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","smas*****","2025-07-18","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","빠른배송 물건상태 좋아요","이미지 없음"
"5","cxzd*******","2025-07-18","색상: 🧡NEW🧡 마블베이지 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","진짜로 아이들이 우다다다 달려도 조용하고 미끄럽지 않아서 너무 좋았어요!! 푹신푹신해서 사람들이 다녀도 너무 좋고 색상도 사진과 같아서 너무너무 마음에 드네요 ㅎㅎ 매트도 인테리어 중에 하나라서 신중하게 선택했는데 완전 대만족!!","이미지 없음"
"5","law0***","2025-07-17","색상: 🧡NEW🧡 마블스톤 / 두께 / 폭: 두께1.4cm / 폭140cm / 길이: 길이 50cm","색이 아주 맘에 들어요. 3개월 된 강아지 입양한지 일주일 좀 넘었는데, 자꾸 미끄러져서 슬개골이 걱정되어서 주문했는데 안미끄러지고 좋아요","이미지 없음"
"5","lll7***","2025-07-16","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭140cm / 길이: 길이 50cm","진작 해줄걸 그랬네요!! 폭신폭신 안밀리고 너무좋아요 문구용 가위로도 잘 잘려요
냄새도 환기따로 안해도 될정도에요!
한달정도 서치하다가 결정했는데 넘 뿌듯합니다 ㅎㅎ","https://phinf.pstatic.net/checkout.phinf/20250716_148/1752644202859n5yEc_JPEG/IMG_4413.jpeg?type=f300_300"
"5","wang******","2025-07-16","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","깔끔한 화이트에요 !","https://phinf.pstatic.net/checkout.phinf/20250716_134/1752616539464R3GNy_JPEG/IMG_0878.jpeg?type=f300_300"
"5","seop***","2025-07-15","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","기존 매트는 강아지가 긁으면 찢어졌는데 이 제품은 튼튼합니다","https://phinf.pstatic.net/checkout.phinf/20250715_25/1752546967787PyNhm_JPEG/1752546957999.jpg?type=f300_300"
"5","opq7***","2025-07-14","색상: 🧡NEW🧡 러블리테라조 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","잘받았습니다
깔고보니 괜찮네요!!","https://phinf.pstatic.net/checkout.phinf/20250714_98/1752464786569E2xQa_JPEG/IMG_5754.jpeg?type=f300_300"
"5","redw*******","2025-07-14","색상: 🧡NEW🧡 마블베이지 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","1년~2년간격으로 전체교체를하는데 미끄럼은아주좋은듯 스크레치나그런면은살짝아쉽지만 강아지는무난하게사용가능","https://phinf.pstatic.net/checkout.phinf/20250714_249/1752454801675XYQeL_JPEG/1752454783287.jpg?type=f300_300"
"5","redw*******","2025-07-14","색상: 🧡NEW🧡 마블베이지 / 두께 / 폭: 두께1.4cm / 폭140cm / 길이: 길이 50cm","미끄럼방지기능은 확실한듯해요","https://phinf.pstatic.net/checkout.phinf/20250714_136/1752454591839yAHSN_JPEG/1752454573831.jpg?type=f300_300"
"5","redw*******","2025-07-14","색상: 🧡NEW🧡 마블베이지 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","집이깔끔해보이고 손쉽게할수있어요","https://phinf.pstatic.net/checkout.phinf/20250714_259/1752454517956NOEA1_JPEG/1752454501474.jpg?type=f300_300"
"3","znzl****","2025-07-14","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","가격이 비싼것같아요","https://phinf.pstatic.net/checkout.phinf/20250714_35/17524520532458HO5Q_JPEG/1752452047593.jpg?type=f300_300"
"3","znzl****","2025-07-14","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","끝부분 밟으면 뭔가 매트안쪽이 토독하고 터져요","https://phinf.pstatic.net/checkout.phinf/20250714_265/1752452026044g3Dnc_JPEG/1752452019689.jpg?type=f300_300"
"3","znzl****","2025-07-14","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","오줌싸면 이염남아요","https://phinf.pstatic.net/checkout.phinf/20250714_296/1752451982119ALCRl_JPEG/1752451976580.jpg?type=f300_300"
"5","thes***","2025-07-13","색상: 🧡NEW🧡 러블리테라조 / 두께 / 폭: 두께1.4cm / 폭140cm / 길이: 길이 50cm","아주좋습ㄴㅣ다 만족!","이미지 없음"
"5","ssu0***","2025-07-13","색상: 🏅BEST🏅 라이트베이지 / 두께 / 폭: 두께1.4cm / 폭140cm / 길이: 길이 50cm","강아지 두 마리 키우는 집입니다. 
미끄러운 방지로 카페트를 깔아 두었는데
 여름이기도
 하고 해서 매트 구매하게 되었습니다.
첫구매후 두깨며 내구성  전체적으로 맘에 들어 짜투리공간 부분도 마저 구매합니다.","https://phinf.pstatic.net/checkout.phinf/20250713_147/1752337379443kJFSy_JPEG/1752337348543.jpg?type=f300_300"
"5","saga****","2025-07-12","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","안미끄럽고 두꺼워서 좋습니다","이미지 없음"
