평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","look******","2025-07-20","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 110cm x 50cm","가성비 대비 쓸만 합니다,","이미지 없음"
"5","look******","2025-07-20","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 135cm x 50cm","가성비 대비로는 쓸만 합니다","이미지 없음"
"5","jung******","2025-07-19","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","3번째 구입 화이트라 오염에 신경쓰이지만 튼튼하고 만족합니다","https://phinf.pstatic.net/checkout.phinf/20250719_91/1752933510595oTvrz_JPEG/784fa060-e7c0-4e7b-bb57-7ddd83d1e5d6-1_all_65440.jpg?type=f300_300"
"5","jiyu********","2025-07-19","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","저희 애가 자꾸 미끄러져서 다리 지키려고 구매했어요!매트들이 다 비싸서 그 중에 조금 괜찮은 여기로 시켰어요 확실히 안미끄러지고 좋긴한데 바닥쪽 면은 따로 미끄럼방지를 안했는지 바닥에서 매트가 잘밀려서 테이프로 일일이 다 붙여야 고정돼여 그리고 재단이 제가 원한 길이랑 달라서 겨우 끼워 맞췄어요…","https://phinf.pstatic.net/checkout.phinf/20250719_168/1752926954791NSkcs_JPEG/IMG_3819.jpeg?type=f300_300"
"5","jiyu********","2025-07-19","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","저희 애가 자꾸 미끄러져서 다리 지키려고 구매했어요!매트들이 다 비싸서 그 중에 조금 괜찮은 여기로 시켰어요 확실히 안미끄러지고 좋긴한데 바닥쪽 면은 따로 미끄럼방지를 안했는지 바닥에서 매트가 잘밀려서 테이프로 일일이 다 붙여야 고정돼여 그리고 재단이 제가 원한 길이랑 달라서 겨우 끼워 맞췄어요…","https://phinf.pstatic.net/checkout.phinf/20250719_138/1752926918599M5kXA_JPEG/IMG_3819.jpeg?type=f300_300"
"5","pe****","2025-07-19","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","거실에 깔아뒀는데 튼튼하고 깔끔해요","https://phinf.pstatic.net/checkout.phinf/20250719_117/1752904311289F6MnH_JPEG/1000056203.jpg?type=f300_300"
"5","pe****","2025-07-19","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","거실에 깔아뒀는데 튼튼하고 깔끔해요","https://phinf.pstatic.net/checkout.phinf/20250719_194/1752904154713UzNV4_JPEG/1000056203.jpg?type=f300_300"
"5","pe****","2025-07-19","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","거실에 깔아뒀는데 튼튼하고 깔끔해요","https://phinf.pstatic.net/checkout.phinf/20250719_39/1752904047479AGIRe_JPEG/1000056203.jpg?type=f300_300"
"4","jmgo****","2025-07-19","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","심플한데 좀 달라붙는 느낌이 있어요","https://phinf.pstatic.net/checkout.phinf/20250719_171/1752894967585SHnml_JPEG/1000027473.jpg?type=f300_300"
"5","anna*****","2025-07-18","타입-색상: 롤매트-다크그레이 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 135cm x 50cm","튼튼해서 마음에 듭니다","https://phinf.pstatic.net/checkout.phinf/20250718_1/1752840641319prJU9_JPEG/20250718_211028.jpg?type=f300_300"
