평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","0225***","2025-07-17","디자인 선택: 그레이캔버스 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","멍멍이가 넓게 길만들어주니 편하게 잘다니고 넘좋아요","https://phinf.pstatic.net/checkout.phinf/20250717_286/1752727407362lhfrU_JPEG/1752727394969.jpg?type=f300_300"
"5","0225***","2025-07-17","디자인 선택: 그레이캔버스 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","재구매해서 잘쓰고있어요","https://phinf.pstatic.net/checkout.phinf/20250717_179/1752727113505Qd36g_JPEG/1752727099372.jpg?type=f300_300"
"5","wltn****","2025-07-16","디자인 선택: 그레이캔버스 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","5년전에 사서 잘쓰다가 이사를해서 추가로 주문했어요","https://phinf.pstatic.net/checkout.phinf/20250716_293/1752667149724Ay51z_JPEG/IMG_8644.jpeg?type=f300_300"
"5","gieu****","2025-07-16","디자인 선택: 비글퍼피 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","배송도  빠르고  조아요","이미지 없음"
"5","rlat*****","2025-07-16","디자인 선택: 소프트그레이 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","생각보다 더 좋아요
아주아주 만족합니다

다만, 매트 곳곳에 더러운게 뭍어서 지우느라 애먹었어요 
그리고 세로길이 말고 가로길이가 110이 정확하지 않아서 그것또한 애먹었습니다..
암튼 그래도 시공할때 너무 고생했지만
깔고나니 너무 좋아요!","https://phinf.pstatic.net/checkout.phinf/20250716_98/17526392549505HnA1_JPEG/image.jpg?type=f300_300"
"5","zzoc***","2025-07-15","디자인 선택: 도그프린트 / 두께(폭): 9mm(폭125cm) / 길이(수량추가): 50cm","울 아들을 위해서~
완존 짱입니다!!!","https://phinf.pstatic.net/checkout.phinf/20250715_292/1752545158799sxcNo_JPEG/1752545148117.jpg?type=f300_300"
"5","dew8***","2025-07-14","디자인 선택: 그레이캔버스 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","강아지도 마음놓고 뛰어다니고, 사람도 맘편히 걸어다닐수 있을거같네요","이미지 없음"
"5","dew8***","2025-07-14","디자인 선택: 그레이캔버스 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","강 아지 슬개골이 걱정 되서 깔았는데.. 폭신폭신하고 좋네요~","이미지 없음"
"5","skyh*******","2025-07-14","디자인 선택: 도그프린트 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","아이들이  좋아하네요","https://phinf.pstatic.net/checkout.phinf/20250714_115/1752465763547yEost_JPEG/1000009226.jpg?type=f300_300"
"5","why8******","2025-07-13","디자인 선택: 소프트그레이 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","좋아요 강아지가 너무 좋아해요!!","이미지 없음"
"5","leeh******","2025-07-13","디자인 선택: 마블아이보리 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","사이즈 잘못왔었는데 문의드리니, 친절하고 조치도 바로되어 만족스럽습니다.
빠른배송, 품질, 서비스 굿! 강추합니다!","이미지 없음"
"5","spee*****","2025-07-13","디자인 선택: 비글퍼피 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","강쥐 쓸개골이 많이 않좋아서 방에 깔았는데
잘 띠댕기고 잘 놀아서 좋네요","https://phinf.pstatic.net/checkout.phinf/20250713_5/1752336553979SFO7Y_JPEG/1752336541612.jpg?type=f300_300"
