평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"1","mina***","2025-07-19","타입/색상: 우다다퍼즐-마블스톤 / 사이즈: 100x100x3.4cm (1장)","흘리는 즉시 닦아도 안지워집니다.
지우려고 얼룩제거제도 사고 과탄산소다도 적셔놓고 돈만 썼습니다
그래도 안지워집니다
100만원 주고 산거 아깝습니다.
닦인다고 홍보하셨지만 전혀 안닦입니다
오죽하면 거실 중앙에 방수포 깔고 생활합니다.
그렇다고 안 흘릴 수 있나요? 
한달넘게 썼는데 쓸 수록 뭐흘릴까봐 무섭고 스트레스 받습니다. 
제 매트가 불량인가요?","https://phinf.pstatic.net/checkout.phinf/20250719_51/1752892922118WcsBY_JPEG/image.jpg?type=f300_300"
"5","w999*****","2025-07-18","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","놀이방에 잘 설치했어요!!굿","이미지 없음"
"5","skuk***","2025-07-17","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","쩍쩍 소리난다는
후기듣고 고민많이했는데, 실사용해보니 제
주관적으로는 괜찮습니다!  
복도쪽 깔아보려고 구매했어요~ 
추가배송비가 있었지만 배송도 매우빠르게 왔고,
두껍고 아이들이 우다다 뛰어도 울림없어 좋아요 
저혼자 13장 복도쪽 다 깔았구요!! 남은 짜투리로 고정도 하고 매우 실용적이에요! 
2일째 사용중이라 더 써봐야겠지만 현재는 매우 만족스럽습니다!!","https://phinf.pstatic.net/checkout.phinf/20250717_187/17527548960117wdJ4_JPEG/image.jpg?type=f300_300"
"5","oldb******","2025-07-17","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","품질이 아주 좋습니다","이미지 없음"
"5","03****","2025-07-17","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","깔끔하고 퍼즐이라 편해요","https://phinf.pstatic.net/checkout.phinf/20250717_39/1752725233724yfA2T_JPEG/image.jpg?type=f300_300"
"5","03****","2025-07-17","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","전에 쓰던거라 다시 주문했어요","https://phinf.pstatic.net/checkout.phinf/20250717_188/1752725206540dTKIo_JPEG/image.jpg?type=f300_300"
"5","smi1***","2025-07-17","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250717_181/1752710047862WAd8E_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","smi1***","2025-07-17","타입/색상: 방방퍼즐-그레이 / 사이즈: 50x50x3cm (4장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250717_43/1752710030245wNlds_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","smi1***","2025-07-17","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250717_235/1752710011424pyHEN_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","hh****","2025-07-17","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","상품설명그대로입니다.
좋은 제품 많이 파세요.","이미지 없음"
