기본가격,옵션1,옵션2,추가가격,최종가격
49400,,,,49400
,,,,
,25T [NEW] PU_A타입(100x100x1장),네츄럴 코튼,,49400
,25T [NEW] PU_A타입(100x100x1장),네츄럴 샌드,,49400
,25T [NEW] PU_A타입(100x100x1장),심플 밀크,,49400
,25T [NEW] PU_A타입(100x100x1장),심플 크림,,49400
,25T [NEW] PU_A타입(100x100x1장),심플 그레이 (품절),,49400
